Modelo,Hiperparámetro,Valor,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,max_depth,min_samples_split,min_samples_leaf
RandomForestClassifier,n_estimators,15,0.88,0.8888888888888888,0.8,0.8421052631578947,8,1,2,14,20,2,5
RandomForestClassifier,n_estimators,15,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,5,1
RandomForestClassifier,n_estimators,15,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,20,5,3
RandomForestClassifier,n_estimators,15,0.92,0.8333333333333334,1.0,0.9090909090909091,10,2,0,13,20,5,5
RandomForestClassifier,n_estimators,15,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,10,1
RandomForestClassifier,n_estimators,15,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,20,10,3
RandomForestClassifier,n_estimators,15,0.84,0.8,0.8,0.8,8,2,2,13,20,10,5
RandomForestClassifier,n_estimators,15,0.72,0.8,0.4,0.5333333333333333,4,1,6,14,30,2,1
RandomForestClassifier,n_estimators,15,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,2,3
RandomForestClassifier,n_estimators,15,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,30,2,5
RandomForestClassifier,n_estimators,15,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,5,1
RandomForestClassifier,n_estimators,15,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,5,3
RandomForestClassifier,n_estimators,15,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,30,5,5
RandomForestClassifier,n_estimators,15,0.8,0.8571428571428571,0.6,0.7058823529411765,6,1,4,14,30,10,1
RandomForestClassifier,n_estimators,15,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,30,10,3
RandomForestClassifier,n_estimators,15,0.84,0.875,0.7,0.7777777777777778,7,1,3,14,30,10,5
RandomForestClassifier,n_estimators,20,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,10,2,1
RandomForestClassifier,n_estimators,20,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,10,2,3
RandomForestClassifier,n_estimators,20,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,10,2,5
RandomForestClassifier,n_estimators,20,0.72,0.8,0.4,0.5333333333333333,4,1,6,14,10,5,1
RandomForestClassifier,n_estimators,20,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,10,5,3
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,10,5,5
RandomForestClassifier,n_estimators,20,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,10,10,1
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,10,10,3
RandomForestClassifier,n_estimators,20,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,10,10,5
RandomForestClassifier,n_estimators,20,0.64,0.6666666666666666,0.2,0.3076923076923077,2,1,8,14,15,2,1
RandomForestClassifier,n_estimators,20,0.84,0.875,0.7,0.7777777777777778,7,1,3,14,15,2,3
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,15,2,5
RandomForestClassifier,n_estimators,20,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,15,5,1
RandomForestClassifier,n_estimators,20,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,15,5,3
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,15,5,5
RandomForestClassifier,n_estimators,20,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,15,10,1
RandomForestClassifier,n_estimators,20,0.84,0.875,0.7,0.7777777777777778,7,1,3,14,15,10,3
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,15,10,5
RandomForestClassifier,n_estimators,20,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,20,2,1
RandomForestClassifier,n_estimators,20,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,2,3
RandomForestClassifier,n_estimators,20,0.92,0.8333333333333334,1.0,0.9090909090909091,10,2,0,13,20,2,5
RandomForestClassifier,n_estimators,20,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,20,5,1
RandomForestClassifier,n_estimators,20,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,5,3
RandomForestClassifier,n_estimators,20,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,5,5
RandomForestClassifier,n_estimators,20,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,10,1
RandomForestClassifier,n_estimators,20,0.84,0.875,0.7,0.7777777777777778,7,1,3,14,20,10,3
RandomForestClassifier,n_estimators,20,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,10,5
RandomForestClassifier,n_estimators,20,0.72,1.0,0.3,0.46153846153846156,3,0,7,15,30,2,1
RandomForestClassifier,n_estimators,20,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,30,2,3
RandomForestClassifier,n_estimators,20,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,30,2,5
RandomForestClassifier,n_estimators,20,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,30,5,1
RandomForestClassifier,n_estimators,20,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,30,5,3
RandomForestClassifier,n_estimators,20,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,5,5
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,30,10,1
RandomForestClassifier,n_estimators,20,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,30,10,3
RandomForestClassifier,n_estimators,20,0.84,0.8,0.8,0.8,8,2,2,13,30,10,5
RandomForestClassifier,n_estimators,30,0.72,1.0,0.3,0.46153846153846156,3,0,7,15,10,2,1
RandomForestClassifier,n_estimators,30,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,10,2,3
RandomForestClassifier,n_estimators,30,0.92,0.8333333333333334,1.0,0.9090909090909091,10,2,0,13,10,2,5
RandomForestClassifier,n_estimators,30,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,10,5,1
RandomForestClassifier,n_estimators,30,0.8,0.8571428571428571,0.6,0.7058823529411765,6,1,4,14,10,5,3
RandomForestClassifier,n_estimators,30,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,10,5,5
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,10,10,1
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,10,10,3
RandomForestClassifier,n_estimators,30,0.92,0.8333333333333334,1.0,0.9090909090909091,10,2,0,13,10,10,5
RandomForestClassifier,n_estimators,30,0.72,0.8,0.4,0.5333333333333333,4,1,6,14,15,2,1
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,2,3
RandomForestClassifier,n_estimators,30,0.84,0.8,0.8,0.8,8,2,2,13,15,2,5
RandomForestClassifier,n_estimators,30,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,15,5,1
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,5,3
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,5,5
RandomForestClassifier,n_estimators,30,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,15,10,1
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,10,3
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,10,5
RandomForestClassifier,n_estimators,30,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,20,2,1
RandomForestClassifier,n_estimators,30,0.84,0.8,0.8,0.8,8,2,2,13,20,2,3
RandomForestClassifier,n_estimators,30,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,20,2,5
RandomForestClassifier,n_estimators,30,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,20,5,1
RandomForestClassifier,n_estimators,30,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,20,5,3
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,5,5
RandomForestClassifier,n_estimators,30,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,20,10,1
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,10,3
RandomForestClassifier,n_estimators,30,0.88,0.8888888888888888,0.8,0.8421052631578947,8,1,2,14,20,10,5
RandomForestClassifier,n_estimators,30,0.68,1.0,0.2,0.3333333333333333,2,0,8,15,30,2,1
RandomForestClassifier,n_estimators,30,0.84,0.875,0.7,0.7777777777777778,7,1,3,14,30,2,3
RandomForestClassifier,n_estimators,30,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,30,2,5
RandomForestClassifier,n_estimators,30,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,30,5,1
RandomForestClassifier,n_estimators,30,0.8,0.8571428571428571,0.6,0.7058823529411765,6,1,4,14,30,5,3
RandomForestClassifier,n_estimators,30,0.84,0.8,0.8,0.8,8,2,2,13,30,5,5
RandomForestClassifier,n_estimators,30,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,10,1
RandomForestClassifier,n_estimators,30,0.84,0.8,0.8,0.8,8,2,2,13,30,10,3
RandomForestClassifier,n_estimators,30,0.84,0.8,0.8,0.8,8,2,2,13,30,10,5
RandomForestClassifier,n_estimators,50,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,10,2,1
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,10,2,3
RandomForestClassifier,n_estimators,50,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,10,2,5
RandomForestClassifier,n_estimators,50,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,10,5,1
RandomForestClassifier,n_estimators,50,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,10,5,3
RandomForestClassifier,n_estimators,50,0.92,0.8333333333333334,1.0,0.9090909090909091,10,2,0,13,10,5,5
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,10,10,1
RandomForestClassifier,n_estimators,50,0.84,0.875,0.7,0.7777777777777778,7,1,3,14,10,10,3
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,10,10,5
RandomForestClassifier,n_estimators,50,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,15,2,1
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,2,3
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,2,5
RandomForestClassifier,n_estimators,50,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,15,5,1
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,5,3
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,5,5
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,15,10,1
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15,10,3
RandomForestClassifier,n_estimators,50,0.92,0.8333333333333334,1.0,0.9090909090909091,10,2,0,13,15,10,5
RandomForestClassifier,n_estimators,50,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,20,2,1
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,2,3
RandomForestClassifier,n_estimators,50,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,20,2,5
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,5,1
RandomForestClassifier,n_estimators,50,0.8,0.8571428571428571,0.6,0.7058823529411765,6,1,4,14,20,5,3
RandomForestClassifier,n_estimators,50,0.84,0.8,0.8,0.8,8,2,2,13,20,5,5
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,10,1
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,20,10,3
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20,10,5
RandomForestClassifier,n_estimators,50,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,30,2,1
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,30,2,3
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,2,5
RandomForestClassifier,n_estimators,50,0.72,0.8,0.4,0.5333333333333333,4,1,6,14,30,5,1
RandomForestClassifier,n_estimators,50,0.84,0.8,0.8,0.8,8,2,2,13,30,5,3
RandomForestClassifier,n_estimators,50,0.88,0.8181818181818182,0.9,0.8571428571428571,9,2,1,13,30,5,5
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,30,10,1
RandomForestClassifier,n_estimators,50,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,30,10,3
RandomForestClassifier,n_estimators,50,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,30,10,5
